げっしるい,げっ歯類,名詞,1
げっしるい,齧歯類,名詞,0
げのむ,ゲノム,名詞,1
げる,ゲル,名詞,1
げるちん,ゲル沈,名詞,1
げんき,原基,名詞,1
げんせい,現生,サ行(する)&名詞,0
げんちゅう,原虫,名詞,1
こーちぞる,コーチゾル,名詞,1
こうおんどうぶつ,恒温動物,名詞,0
こうき,好気,名詞,1
こうくう,口腔,名詞,1
こうげん,抗原,名詞,1
こうさい,虹彩,名詞,1
こうさいぼう,膠細胞,名詞,1
こうさん,好酸,名詞,1
こうざつ,交雑,サ行(する)&名詞,1
こうし,後肢,名詞,1
こうしん,亢進,名詞,1
こうじゅつ,後述,サ行(する)&名詞,4
こうせいぶっしつ,抗生物質,名詞,0
こうたい,抗体,名詞,1
こうたいか,抗体価,名詞,1
こうち,後置,サ行(する)&名詞,6
こうちゅうきゅう,好中球,名詞,1
こうちょう,腔腸,名詞,0
こうていえき,口蹄疫,名詞,1
こうとうよう,後頭葉,名詞,0
こがい,個飼い,名詞,1
こくしじうむ,コクシジウム,名詞,1
こせいだい,古生代,名詞,0
こつまく,骨膜,名詞,0
こるちこいど,コルチコイド,名詞,1
これら,コレラ,名詞,2
ころにー,コロニー,名詞,1
ごえん,誤嚥,サ行(する)&名詞,1
さいきゅう,鰓弓,名詞,1
さいせい,採精,名詞,1
さいたい,臍帯,名詞,1
さいとぞる,サイトゾル,名詞,1
さいぼうしつ,細胞質,名詞,1
さざんぶろっと,サザンブロット,名詞,1
さしんしつ,左心室,名詞,1
さそく,左側,名詞,1
さのう,砂嚢,名詞,0
さる,サル,名詞,1
さるふぁざい,サルファ剤,名詞,1
さんし,産仔,名詞,1
さんじょく,産褥,名詞,0
さんせい,産生,サ行(する)&名詞,0
さんはんきかん,三半規管,名詞,0
さんらんけい,産卵鶏,名詞,1
ざんき,残基,名詞,1
しーくぇんさ,シークェンサ,名詞,0
しーくぇんさー,シークェンサー,名詞,0
しーくぇんす,シークェンス,サ行(する)&名詞,1
しーけんさー,シーケンサー,名詞,0
しーけんす,シーケンス,サ行(する)&名詞,6
しきゅうかく,子宮角,名詞,1
ししつ,支質,名詞,1
しすていん,システイン,名詞,1
しせい,雌性,名詞,1
してき,至適,名詞,1
しにゅう,刺入,サ行(する)&名詞,1
しはん,紫斑,名詞,1
しゃせい,射精,サ行(する)&名詞,2
しゅうれい,週令,名詞,1
しゅぎ,手技,名詞,1
しゅくあ,宿痾,名詞,0
しゅくしゅ,宿主,名詞,1
しゅこん,主根,名詞,0
しゅだい,腫大,サ行(する)&名詞,1
しゅちょう,主徴,名詞,1
しゆうどうたい,雌雄同体,名詞,0
しょうかき,消化器,名詞,0
しょうしもく,鞘翅目,名詞,0
しょうたい,小体,名詞,1
しょうてきほう,小滴法,名詞,1
しょうのう,小脳,名詞,0
しょうよう,小葉,名詞,1
しょくさつ,喰殺,名詞,1
しょくちゅう,食虫,サ行(する)&名詞,0
しょくにくもく,食肉目,名詞,0
しょざん,初産,名詞,1
しょせい,初生,名詞,1
しょにゅう,初乳,名詞,1
しよう,脂溶,名詞,1
しようしゃ,使用者,名詞,0
しんかく,真核,名詞,1
しんかくせいぶつ,真核生物,名詞,0
しんきん,心筋,名詞,0
しんきん,真菌,名詞,1
しんしつ,心室,名詞,1
しんしゅつ,滲出,サ行(する)&名詞,1
しんじゅうるい,真獣類,名詞,0
しんせん,振戦,名詞,1
しんのう,心嚢,名詞,1
しんのう,親王,名詞,0
しんぼう,心房,名詞,0
しんようじゅ,針葉樹,名詞,0
しんようじゅりん,針葉樹林,名詞,0
じくさく,軸索,名詞,1
じとり,地鶏,名詞,1
じゅうそう,重層,サ行(する)&名詞,1
じゅうとく,重篤,名詞,1
じゅうもう,絨毛,名詞,0
じゅうもうまく,絨毛膜,名詞,1
じゅせいらん,受精卵,名詞,1
じゅんか,馴化,サ行(する)&名詞,1
じゅんすい,純水,名詞,1
じょうこう,上向,サ行(する)&名詞,1
じょうこう,上行,サ行(する)&名詞,0
じょうざい,常在,サ行(する)&名詞,1
じょうせい,上清,名詞,1
じょうたい,上体,名詞,1
じょうひ,上皮,名詞,1
じょうほう,常法,名詞,1
じょかく,除核,名詞,1
じょしつ,除湿,名詞,1
じょたんぱく,除蛋白,名詞,1
じょみゃく,徐脈,名詞,0
じんう,腎盂,名詞,1
じんえん,腎炎,名詞,1
じんましん,蕁麻疹,名詞,1
すいさん,水酸,名詞,1
すいそう,水層,名詞,1
すいぞう,膵臓,名詞,0
すいほう,水胞,名詞,1
すいほう,水疱,名詞,1
すいよう,水溶,名詞,1
すかっちゃーどぷろっと,スカッチャードプロット,名詞,1
すかとろじー,スカトロジー,名詞,0
すくりーにんぐ,スクリーニング,サ行(する)&名詞,1
すてろいど,ステロイド,名詞,1
すめあー,スメアー,名詞,1
せいかつかん,生活環,名詞,1
せいかん,精管,名詞,1
せいしょう,精漿,名詞,1
せいしょく,生食,名詞,1
せいじょう,性状,名詞,1
せいじょうたい,星状体,名詞,1
せいせん,性腺,名詞,1
せいそう,精巣,名詞,1
せいそうけん,成層圏,名詞,0
せいたい,成体,名詞,1
せいたい,声帯,名詞,0
せいたいけい,生態系,名詞,0
せいち,静置,名詞,1
せいひ,性比,名詞,1
せきさく,脊索,名詞,0
せってん,節点,名詞,1
せっとうご,接頭語,名詞,0
せっぴ,切皮,サ行(する)&名詞,1
せっぺん,切片,名詞,1
せんい,線維,名詞,1
せんいそ,線維素,名詞,1
せんそく,栓塞,名詞,1
せんつう,疝痛,名詞,1
せんもう,繊毛,名詞,0
せんもう,剪毛,名詞,1
ぜいめい,喘鳴,名詞,1
ぜんかく,前核,名詞,1
ぜんかくき,前核期,名詞,1
ぜんし,前肢,名詞,1
ぜんしつ,前室,名詞,1
ぜんぜんしつ,前々室,名詞,1
ぜんとうよう,前頭葉,名詞,0
ぜんどう,蠕動,サ行(する)&名詞,1
ぜんめい,喘鳴,名詞,1
そうしよう,双子葉,名詞,0
そうじつはい,桑実胚,名詞,1
そうどう,相同,名詞,1
そうほさ,相補鎖,名詞,1
